"Sample" "Sample1" "Sample2" "Sample3" "Sample4" "Sample5" "Sample6" "Sample7" "Sample8" "Sample9" "Sample10" "Sample11" "Sample12" "Sample13" "Sample14" "Sample15" "Sample16" "Sample17" "Sample18" "Sample19" "Sample20" "Sample21" "Sample22" "Sample23" "Sample24" "Sample25" "Sample26" "Sample27" "Sample28" "Sample29" "Sample30" "Sample31" "Sample32" "Sample33" "Sample34" "Sample35" "Sample36" "Sample37" "Sample38" "Sample39" "Sample40" "Sample41" "Sample42" "Sample43" "Sample44" "Sample45" "Sample46" "Sample47" "Sample48" "Sample49" "Sample50" "Sample51" "Sample52" "Sample53" "Sample54" "Sample55" "Sample56" "Sample57" "Sample58" "Sample59"
"ARHGEF10L" "1.22480753024" "0.614507530238" "2.24880753024" "-0.589492469762" "1.74420753024" "-0.217192469762" "0.417607530238" "0.905107530238" "1.05330753024" "0.061607530238" "-0.362492469762" "1.03730753024" "0.735807530238" "0.431907530238" "0.553407530238" "-0.085492469762" "-0.295792469762" "0.413207530238" "0.361007530238" "0.985907530238" "-0.359892469762" "0.446307530238" "-0.046592469762" "-1.13799246976" "-0.068092469762" "-0.016692469762" "-0.296692469762" "-0.061192469762" "1.79350753024" "0.297607530238" "1.25720753024" "1.16050753024" "1.19360753024" "0.702007530238" "0.554907530238" "0.999507530238" "0.507607530238" "1.64730753024" "1.31830753024" "0.511307530238" "1.08140753024" "0.716107530238" "1.48710753024" "0.125507530238" "0.769907530238" "0.591807530238" "0.595907530238" "2.29990753024" "1.36140753024" "-0.110492469762" "0.958007530238" "1.06920753024" "-0.938492469762" "0.577107530238" "1.31060753024" "1.11810753024" "0.253007530238" "1.66520753024" "-0.038592469762"
"HIF3A" "-1.74772633632" "-0.110026336325" "4.36007366368" "-3.20082633632" "6.34547366368" "2.17987366368" "4.14627366368" "-0.331526336325" "-1.22542633632" "-0.938326336325" "0.272773663675" "2.67387366368" "2.47247366368" "0.524873663675" "-0.240926336325" "-1.55962633632" "-2.25872633632" "-3.10742633632" "2.76607366368" "-2.04332633632" "-0.150226336325" "-1.97352633632" "-1.99072633632" "-2.75392633632" "2.96347366368" "-0.354826336325" "3.55447366368" "1.26717366368" "2.94277366368" "-1.83752633632" "-3.21102633632" "-3.46892633632" "0.521173663675" "-3.60412633632" "-0.0770263363246" "-1.09132633632" "-3.66042633632" "-0.807326336325" "-1.48792633632" "-1.75162633632" "0.0233736636754" "-2.78252633632" "0.360473663675" "-4.02302633632" "-1.51842633632" "-2.26652633632" "-1.93762633632" "-1.74512633632" "0.512373663675" "-0.899826336325" "-1.61582633632" "-0.348226336325" "-4.04512633632" "-1.93672633632" "4.41327366368" "-0.0487263363246" "-2.34682633632" "-0.372026336325" "-0.528626336325"
"RNF17" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.0377350058525" "-0.531035005853" "-0.531035005853" "-0.531035005853" "1.00376499415" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.121635005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "1.01096499415" "-0.531035005853" "-0.531035005853" "0.0184649941475" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853" "-0.531035005853"
"RNF10" "-0.257771985954" "0.026728014046" "0.252328014046" "-0.484871985954" "-0.058471985954" "0.202628014046" "0.389528014046" "0.015228014046" "-0.069371985954" "0.426728014046" "0.394028014046" "-0.027671985954" "-0.00107198595398" "-0.190471985954" "0.111128014046" "0.429528014046" "-0.219771985954" "-0.115271985954" "-0.264571985954" "-0.030671985954" "-0.317271985954" "0.046828014046" "-0.156471985954" "-0.382371985954" "0.331228014046" "-0.591271985954" "0.091028014046" "0.504228014046" "0.117528014046" "-1.29187198595" "-0.089771985954" "-0.271371985954" "-0.072271985954" "0.090828014046" "-0.291471985954" "-0.337871985954" "-0.019571985954" "-0.347271985954" "0.065328014046" "0.395028014046" "0.154128014046" "0.084528014046" "-0.179971985954" "-0.225871985954" "0.289328014046" "-0.288871985954" "-0.438771985954" "-0.103271985954" "-0.065871985954" "-0.193371985954" "-0.141371985954" "-0.206971985954" "-1.24197198595" "-0.146571985954" "-0.137171985954" "-0.361271985954" "-0.203371985954" "-0.365171985954" "-0.655571985954"
"RNF11" "0.019121865002" "-0.550378134998" "-0.463778134998" "-0.431178134998" "-0.000678134998031" "-0.074578134998" "1.165621865" "-0.390978134998" "-0.815278134998" "-0.040778134998" "0.432921865002" "-0.037678134998" "-0.643978134998" "-1.069578135" "0.027521865002" "-0.394178134998" "-0.028778134998" "-0.136878134998" "-0.344978134998" "-0.552978134998" "-0.273278134998" "-0.304378134998" "-0.202278134998" "-0.220378134998" "-0.211978134998" "0.204021865002" "0.465021865002" "-0.511378134998" "-0.226178134998" "-0.452178134998" "-0.584878134998" "-1.034478135" "-0.723578134998" "-1.114178135" "-0.790178134998" "-1.657478135" "-0.556378134998" "-0.272578134998" "-0.966678134998" "-0.790278134998" "-0.825078134998" "-0.934778134998" "-0.874378134998" "-0.884778134998" "-1.565678135" "-1.308378135" "-1.542478135" "-1.157778135" "-1.971378135" "-0.608578134998" "-0.985278134998" "-0.874778134998" "-0.998878134998" "-1.183778135" "-0.554478134998" "-1.241978135" "-0.388978134998" "-0.655878134998" "-1.118378135"
"RNF13" "-0.376309910261" "-0.398609910261" "-0.768109910261" "0.425990089739" "0.00489008973857" "0.592790089739" "-0.0497099102614" "-0.325109910261" "-0.471709910261" "-0.293909910261" "0.162990089739" "-0.498009910261" "-0.239109910261" "0.107090089739" "-0.209309910261" "-0.426509910261" "0.178190089739" "0.0721900897386" "-0.634409910261" "-0.547409910261" "-0.725609910261" "-0.209409910261" "0.165090089739" "-0.650909910261" "-0.297609910261" "0.238090089739" "0.106790089739" "-0.396509910261" "-0.445309910261" "0.690190089739" "-0.573709910261" "-0.834309910261" "-0.265309910261" "-0.554709910261" "-1.19660991026" "-0.809809910261" "-0.177609910261" "-0.173609910261" "-0.259109910261" "-0.389409910261" "-0.828209910261" "-0.510309910261" "-0.370509910261" "-0.216609910261" "-0.829909910261" "0.266590089739" "-0.115909910261" "-0.472209910261" "-0.780009910261" "0.0428900897386" "0.222290089739" "-0.523709910261" "0.560690089739" "-0.222509910261" "-0.160309910261" "-0.310709910261" "-0.0427099102614" "-0.537009910261" "0.250390089739"
"GTF2IP1" "-0.627894490831" "-0.846094490831" "-0.311694490831" "-0.364494490831" "0.246705509169" "1.29600550917" "0.257705509169" "0.266905509169" "-1.14919449083" "-0.034394490831" "0.711705509169" "-0.058594490831" "-0.412694490831" "0.140005509169" "-0.291394490831" "-0.012294490831" "1.02620550917" "-0.275894490831" "-0.525194490831" "-0.150594490831" "-0.802094490831" "-0.445594490831" "0.830205509169" "-0.088194490831" "-0.564494490831" "-0.226994490831" "0.045705509169" "-0.073794490831" "-0.510694490831" "-1.11739449083" "-0.568894490831" "-0.857494490831" "-1.17089449083" "-1.06229449083" "-0.467194490831" "-1.30879449083" "-0.341094490831" "-0.391894490831" "-0.179894490831" "0.071705509169" "-1.08979449083" "-0.811394490831" "-0.213294490831" "-1.12639449083" "-0.821194490831" "-0.426794490831" "-1.32729449083" "-1.26049449083" "-0.301094490831" "-1.25039449083" "-1.00449449083" "0.00540550916896" "-1.74659449083" "-1.13079449083" "-0.535694490831" "-1.19479449083" "0.107505509169" "-0.344094490831" "-0.865594490831"
"REM1" "0.0507543425673" "1.18205434257" "0.710954342567" "-0.891645657433" "1.30825434257" "-1.00554565743" "3.06025434257" "1.24305434257" "-1.26184565743" "0.111254342567" "1.49225434257" "2.61635434257" "0.920654342567" "1.26975434257" "1.27325434257" "1.83505434257" "-1.44194565743" "-0.166445657433" "1.30675434257" "0.926354342567" "1.24925434257" "0.519154342567" "1.36835434257" "1.56275434257" "1.10355434257" "1.19375434257" "0.417354342567" "1.05265434257" "0.581554342567" "-1.49464565743" "-1.78094565743" "-0.556245657433" "-1.36324565743" "-1.60244565743" "1.38245434257" "-1.19724565743" "0.328154342567" "-1.90154565743" "1.26545434257" "-0.915045657433" "-1.02704565743" "0.0905543425673" "-0.652045657433" "-0.812545657433" "-0.959445657433" "-1.59394565743" "-0.286445657433" "-2.06344565743" "-1.96904565743" "-0.639245657433" "-0.581445657433" "-0.444745657433" "-1.30414565743" "0.0934543425673" "1.75215434257" "0.532154342567" "0.454854342567" "-2.35484565743" "-2.24244565743"
"MTVR2" "-0.423399406945" "0.615700593055" "-0.423399406945" "1.09720059306" "-0.423399406945" "2.77090059306" "-0.423399406945" "0.111500593055" "2.51880059306" "0.391400593055" "1.95070059306" "1.51230059306" "0.768700593055" "1.30230059306" "-0.423399406945" "0.507000593055" "2.39730059306" "0.00160059305501" "2.30330059306" "0.424800593055" "2.49330059306" "-0.423399406945" "1.88020059306" "1.68620059306" "0.926000593055" "-0.423399406945" "2.74480059306" "0.269100593055" "4.15820059306" "-0.423399406945" "-0.423399406945" "0.523100593055" "-0.423399406945" "0.071600593055" "-0.423399406945" "0.343800593055" "-0.423399406945" "-0.423399406945" "0.465500593055" "-0.423399406945" "-0.423399406945" "0.148000593055" "0.528600593055" "-0.423399406945" "-0.423399406945" "0.557900593055" "0.096100593055" "-0.423399406945" "-0.423399406945" "0.175600593055" "0.018500593055" "-0.423399406945" "-0.423399406945" "0.594700593055" "0.081300593055" "0.815700593055" "-0.423399406945" "-0.423399406945" "-0.423399406945"
"RTN4RL2" "2.84242845884" "-0.477871541163" "0.375328458837" "-0.734171541163" "1.11062845884" "0.414428458837" "0.0586284588373" "-0.649771541163" "2.36602845884" "3.23982845884" "0.520228458837" "1.05202845884" "1.50612845884" "-0.570071541163" "0.257728458837" "0.196828458837" "-0.389771541163" "-1.21107154116" "-0.662871541163" "-1.02887154116" "0.475328458837" "2.09782845884" "1.57692845884" "-1.54177154116" "0.316128458837" "1.36232845884" "1.83032845884" "0.716828458837" "-0.0485715411627" "-3.07517154116" "-1.89037154116" "-1.94657154116" "-1.28667154116" "-0.702471541163" "-1.84107154116" "-2.92547154116" "-2.96357154116" "-2.68157154116" "-2.34117154116" "1.41722845884" "-1.64127154116" "0.0449284588373" "-3.21267154116" "-4.03317154116" "-3.06377154116" "-1.69797154116" "-2.39997154116" "-3.10807154116" "-0.380271541163" "-1.13847154116" "-1.62607154116" "-3.32227154116" "-3.07627154116" "-2.81837154116" "-0.879571541163" "-1.04867154116" "-2.79407154116" "-2.50747154116" "-2.58397154116"
